"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5210","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > España","ui/specs/sepa-eur-validation.spec.ts","",""
"","5611","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Francia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5863","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Alemania","ui/specs/sepa-eur-validation.spec.ts","",""
"","5471","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > República checa","ui/specs/sepa-eur-validation.spec.ts","",""
"","5517","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Suiza","ui/specs/sepa-eur-validation.spec.ts","",""
"","5578","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Grecia","ui/specs/sepa-eur-validation.spec.ts","",""
"","6229","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Eslovenia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5718","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Lituania","ui/specs/sepa-eur-validation.spec.ts","",""
"","5402","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Austria","ui/specs/sepa-eur-validation.spec.ts","",""
"","6099","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Dinamarca","ui/specs/sepa-eur-validation.spec.ts","",""
"","5441","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Bulgaria","ui/specs/sepa-eur-validation.spec.ts","",""
"","5359","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Bélgica","ui/specs/sepa-eur-validation.spec.ts","",""
"","5649","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Italia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5832","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Letonia","ui/specs/sepa-eur-validation.spec.ts","",""
"","6178","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Eslovaquia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5522","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Malta","ui/specs/sepa-eur-validation.spec.ts","",""
"","5625","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Finlandia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5616","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Estonia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5770","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Polonia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5025","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Croacia","ui/specs/sepa-eur-validation.spec.ts","",""
"","5288","Validar que el selector Monto a Recibir permite seleccionar EUR","chromium","2026-05-12","passed","2026-05-12","SEPA — Validación EUR en Monto a Recibir > Portugal","ui/specs/sepa-eur-validation.spec.ts","",""
